0:0:0:0:0:0:0:1 - - [17/Jan/2017:09:54:38 +0530] "GET /CollaborationBack/users/ HTTP/1.1" 200 883
0:0:0:0:0:0:0:1 - - [17/Jan/2017:09:54:38 +0530] "GET /CollaborationBack/blogs/ HTTP/1.1" 200 583
0:0:0:0:0:0:0:1 - - [17/Jan/2017:09:54:39 +0530] "GET /CollaborationBack/blogs/ HTTP/1.1" 200 583
0:0:0:0:0:0:0:1 - - [17/Jan/2017:09:54:48 +0530] "GET /CollaborationBack/users/ HTTP/1.1" 200 883
0:0:0:0:0:0:0:1 - - [17/Jan/2017:09:54:48 +0530] "GET /CollaborationBack/forums/ HTTP/1.1" 200 482
0:0:0:0:0:0:0:1 - - [17/Jan/2017:09:54:49 +0530] "GET /CollaborationBack/jobs/ HTTP/1.1" 200 139
0:0:0:0:0:0:0:1 - - [17/Jan/2017:09:54:49 +0530] "GET /CollaborationBack/blogs/ HTTP/1.1" 200 583
0:0:0:0:0:0:0:1 - - [17/Jan/2017:09:55:11 +0530] "GET /CollaborationFrontEnd/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:09:55:13 +0530] "GET /CollaborationFrontEnd/css/normalize.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:09:55:13 +0530] "GET /CollaborationFrontEnd/fonts/font-awesome-4.2.0/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:09:55:13 +0530] "GET /CollaborationFrontEnd/css/demo.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:09:55:13 +0530] "GET /CollaborationFrontEnd/css/set2.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:09:55:13 +0530] "GET /CollaborationFrontEnd/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:09:55:13 +0530] "GET /CollaborationFrontEnd/user/UserController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jan/2017:09:55:13 +0530] "GET /CollaborationFrontEnd/user/UserService.js HTTP/1.1" 304 -
